precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
City of Detroit AVCB 41,0,1780,0,1412,26,3,2,2,0,0
City of Detroit AVCB 42,0,1182,0,967,22,1,1,3,0,0
City of Detroit AVCB 43,0,1651,0,1332,16,1,2,2,1,0
City of Detroit AVCB 44,0,1551,0,1262,11,3,0,2,1,2
City of Detroit AVCB 45,0,1396,0,1153,14,2,0,8,1,0
City of Detroit AVCB 46,0,1477,0,1197,25,3,4,8,5,1
City of Detroit AVCB 47,0,1184,0,974,13,5,1,4,1,0
City of Detroit AVCB 48,0,1076,0,890,17,1,3,2,2,0
City of Detroit AVCB 49,0,998,0,822,19,1,3,2,1,2
City of Detroit AVCB 50,0,1716,0,1365,23,5,3,6,3,2
City of Detroit AVCB 51,0,1915,0,1586,27,1,3,8,0,1
City of Detroit AVCB 52,0,2074,0,1682,53,1,1,14,5,2
City of Detroit AVCB 53,0,1151,0,949,23,2,2,4,1,0
City of Detroit AVCB 54,0,1002,0,794,26,7,4,6,0,0
City of Detroit AVCB 55,0,2458,0,2076,110,2,6,4,6,3
City of Detroit AVCB 56,0,1466,0,1183,19,1,2,3,1,1
City of Detroit AVCB 57,0,0,0,0,0,0,0,0,0,0
City of Detroit AVCB 58,0,0,0,0,0,0,0,0,0,0
City of Detroit AVCB 59,0,1033,0,860,14,0,3,6,3,1
City of Detroit AVCB 60,0,1346,0,1132,25,2,0,7,4,0
City of Detroit AVCB 61,0,574,0,492,9,1,0,1,1,2
City of Detroit AVCB 62,0,2289,0,1765,70,7,1,9,1,2
City of Detroit AVCB 63,0,1959,0,1521,49,3,6,15,2,1
City of Detroit AVCB 64,0,1806,0,1484,35,3,6,13,2,0
City of Detroit AVCB 65,0,2132,0,1690,33,2,6,8,3,0
City of Detroit AVCB 66,0,1702,0,1431,22,2,3,4,2,0
City of Detroit AVCB 67,0,1639,0,1391,16,2,5,4,0,3
City of Detroit AVCB 68,0,1267,0,1035,17,2,3,4,3,0
City of Detroit AVCB 69,0,1102,0,933,14,2,2,6,0,1
City of Detroit AVCB 70,0,918,0,767,12,2,3,6,4,1
City of Detroit AVCB 71,0,465,0,377,11,0,0,0,1,0
City of Detroit AVCB 72,0,1544,0,1178,13,3,1,5,3,3
City of Detroit AVCB 73,0,1705,0,1295,32,2,4,1,2,0
City of Detroit AVCB 74,0,1341,0,970,34,2,0,2,4,1
City of Detroit AVCB 75,0,2097,0,1413,39,1,0,4,2,0
City of Detroit AVCB 76,0,585,0,508,2,0,1,2,2,0
City of Detroit AVCB 77,0,1895,0,1493,28,7,4,8,3,1
City of Detroit AVCB 78,0,1746,0,1385,25,1,2,9,3,2
City of Detroit AVCB 79,0,1241,0,1002,16,1,3,4,1,2
City of Detroit AVCB 80,0,732,0,567,11,0,0,6,0,2
City of Detroit AVCB 81,0,1013,0,817,18,1,2,2,0,3
City of Detroit AVCB 82,0,897,0,527,49,0,3,0,1,0
